2 degrees
38-40: 1.025
40-42: 1.068
42-44: 1.11
44-46: 1.151
46-48: 1.191
48-50: 1.229
50-52: 1.265
52-54: 1.3
54-56: 1.334
56-58: 1.366
58-60: 1.396
60-62: 1.424
62-64: 1.451
64-66: 1.476
66-68: 1.499
68-70: 1.52
70-72: 1.54
72-74: 1.557
74-76: 1.573
76-78: 1.586
78-80: 1.598
80-82: 1.608
82-84: 1.616
84-86: 1.622
86-88: 1.626
88-90: 1.628

5 degrees
15-20: 1.224
20-25: 1.557
25-30: 1.879
30-35: 2.187
35-40: 2.477
40-45: 2.749
45-50: 3.0
50-55: 3.229
55-60: 3.432
60-65: 3.61
65-70: 3.76
70-75: 3.881
75-80: 3.973
80-85: 4.035
85-90: 4.066

10 degrees
10-20: 2.104
20-30: 3.436
30-40: 4.664
40-50: 5.75
50-60: 6.661
60-70: 7.369
70-80: 7.854
80-90: 8.1

20 degrees
0-20: 2.813
20-40: 8.1
40-60: 12.41
60-80: 15.223
80-90: 8.1
